City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,261.16,72,75,1.03,GL,1733159553
1,petropavlovsk-kamchatsky,53.0452,158.6483,273.45,96,100,7.88,RU,1733159555
2,tosontsengel,48.7567,98.2839,256.76,97,100,0.39,MN,1733159556
3,waitangi,-43.9535,-176.5597,285.83,90,87,2.24,NZ,1733159557
4,bilibino,68.0546,166.4372,255.2,99,100,0.36,RU,1733159558
5,wailua homesteads,22.0669,-159.378,295.59,78,0,3.09,US,1733159559
6,ola,59.5833,151.2833,266.25,80,89,5.09,RU,1733159560
7,saldanha,-33.0117,17.9442,291.55,89,66,5.81,ZA,1733159561
8,dhidhdhoo,6.8833,73.1,301.29,67,83,7.9,MV,1733159563
9,uturoa,-16.7333,-151.4333,300.66,77,93,5.62,PF,1733159564
10,bethel,41.3712,-73.414,276.49,56,0,2.57,US,1733159387
11,hawaiian paradise park,19.5933,-154.9731,292.54,95,4,0.45,US,1733159566
12,margate,51.3813,1.3862,281.97,79,52,0.89,GB,1733159567
13,jaraiz de la vera,40.0601,-5.7543,286.57,83,70,1.34,ES,1733159568
14,stillwater,36.1156,-97.0584,280.99,66,0,6.69,US,1733159570
15,fortuna,40.5982,-124.1573,279.66,87,0,5.14,US,1733159571
16,rabigh,22.7986,39.0349,298.32,56,0,2.99,SA,1733159572
17,bredasdorp,-34.5322,20.0403,294.08,71,73,7.02,ZA,1733159573
18,utrik,11.2278,169.8474,301.2,73,97,9.88,MH,1733159574
19,papatowai,-46.5619,169.4708,286.21,93,100,3.39,NZ,1733159575
20,yellowknife,62.456,-114.3525,253.44,84,75,6.17,CA,1733159576
21,iqaluit,63.7506,-68.5145,248.0,69,20,7.2,CA,1733159577
22,trincomalee,8.5711,81.2335,299.2,75,51,4.08,LK,1733159559
23,cambria,35.5641,-121.0808,285.96,83,56,1.51,US,1733159580
24,port-aux-francais,-49.35,70.2167,279.4,96,89,10.07,TF,1733159581
25,port mathurin,-19.6833,63.4167,298.26,73,8,7.16,MU,1733159582
26,sao vicente,-23.9631,-46.3919,302.58,26,100,0.41,BR,1733159361
27,la junta,37.985,-103.5438,274.31,69,0,0.0,US,1733159584
28,gereida,11.2811,25.1414,297.18,14,26,3.97,SD,1733159585
29,grytviken,-54.2811,-36.5092,275.36,100,100,1.15,GS,1733159586
30,hamilton,39.1834,-84.5333,272.95,58,0,3.09,US,1733159544
31,jhajjar,28.6063,76.6565,292.16,34,0,1.85,IN,1733159589
32,zinjibar,13.1287,45.3807,299.71,69,45,3.6,YE,1733159590
33,puerto natales,-51.7236,-72.4875,284.4,50,75,11.32,CL,1733159591
34,puerto ayora,-0.7393,-90.3518,295.82,79,87,4.41,EC,1733159592
35,nam som,17.7704,102.1895,295.97,73,24,0.22,TH,1733159593
36,al qusayr,34.5091,36.5798,283.43,40,44,2.12,SY,1733159594
37,west island,-12.1568,96.8225,301.14,94,100,2.57,CC,1733159595
38,nova sintra,14.8667,-24.7167,298.69,65,58,10.35,CV,1733159597
39,port elizabeth,-33.918,25.5701,293.88,78,0,2.06,ZA,1733159598
40,udachny,66.4167,112.4,241.83,82,12,2.96,RU,1733159599
41,longyearbyen,78.2186,15.6401,261.06,72,40,5.66,SJ,1733159600
42,edinburgh of the seven seas,-37.0676,-12.3116,288.82,87,98,10.86,SH,1733159601
43,port douglas,-16.4833,145.4667,299.64,85,79,1.45,AU,1733159602
44,adamstown,-25.066,-130.1015,296.22,83,98,5.95,PN,1733159603
45,porto tolle,44.9497,12.3245,282.27,64,38,2.06,IT,1733159604
46,kikwit,-5.041,18.8162,296.85,88,54,0.28,CD,1733159605
47,olonkinbyen,70.9221,-8.7187,263.62,62,100,5.75,SJ,1733159607
48,susuman,62.7833,148.1667,253.2,100,96,0.49,RU,1733159608
49,invercargill,-46.4,168.35,287.6,94,100,1.34,NZ,1733159609
50,labytnangi,66.6572,66.4183,259.3,94,100,1.75,RU,1733159610
51,topeka,39.0483,-95.678,272.36,75,100,5.66,US,1733159539
52,la mira,18.035,-102.3266,301.52,56,0,1.87,MX,1733159612
53,biltine,14.5333,20.9167,298.75,13,32,4.07,TD,1733159613
54,mount pearl,47.5166,-52.7813,278.96,83,75,6.69,CA,1733159615
55,newman,37.3138,-121.0208,285.13,53,48,1.18,US,1733159616
56,fale old settlement,-9.3852,-171.2468,300.54,80,42,6.81,TK,1733159617
57,hillsboro,45.5229,-122.9898,275.74,83,79,0.33,US,1733159618
58,stanley,54.868,-1.6985,276.77,84,20,5.14,GB,1733159619
59,sitka,57.0531,-135.33,282.09,93,100,4.63,US,1733159620
60,siasi,5.5462,120.8145,300.99,74,100,2.96,PH,1733159622
61,badger,64.8,-147.5333,252.24,83,40,3.09,US,1733159623
62,college,64.8569,-147.8028,252.29,79,40,3.09,US,1733159624
63,st. john's,47.5649,-52.7093,279.42,84,75,6.69,CA,1733159625
64,klyuchi,52.2667,79.1667,260.28,97,49,2.58,RU,1733159626
65,aykhal,66.0,111.5,245.65,78,8,4.39,RU,1733159627
66,qaqortoq,60.7167,-46.0333,270.55,93,100,2.84,GL,1733159628
67,vrbas,45.5714,19.6408,277.8,81,42,2.92,RS,1733159629
68,margaret river,-33.95,115.0667,289.75,81,100,5.49,AU,1733159630
69,bardoli,21.1167,73.1167,297.25,45,19,3.04,IN,1733159632
70,aasiaat,68.7098,-52.8699,259.25,82,100,2.16,GL,1733159633
71,gadzhiyevo,69.2551,33.3362,270.05,93,62,10.62,RU,1733159634
72,la passe,45.5549,-0.8967,284.94,83,8,4.0,FR,1733159635
73,borgarnes,64.5383,-21.9206,266.62,80,100,5.23,IS,1733159636
74,ust-nera,64.5667,143.2,250.1,100,69,1.39,RU,1733159637
75,dezhou,37.4486,116.2925,273.91,44,100,1.89,CN,1733159638
76,mitu,1.1983,-70.1733,305.17,45,63,1.48,CO,1733159477
77,choyr,46.3611,108.3611,262.0,42,9,4.35,MN,1733159641
78,magistral'nyy,56.1725,107.4458,239.77,100,8,0.97,RU,1733159642
79,yanchep,-31.55,115.6833,288.42,76,23,1.91,AU,1733159643
80,ciudad lazaro cardenas,17.9583,-102.2,301.35,58,0,1.43,MX,1733159644
81,vadso,70.0744,29.7487,272.24,93,75,2.57,NO,1733159645
82,oak island,33.9166,-78.1611,282.07,38,0,4.63,US,1733159646
83,qamdo,31.1667,97.2333,269.94,51,79,1.76,CN,1733159647
84,togur,58.3631,82.8265,266.27,94,100,5.06,RU,1733159648
85,anadyr,64.75,177.4833,258.43,92,0,1.0,RU,1733159650
86,san antonio de pale,-1.4014,5.6325,299.82,80,17,4.05,GQ,1733159651
87,oranjemund,-28.55,16.4333,290.65,84,64,9.14,NA,1733159652
88,pemba,-12.974,40.5178,299.73,70,27,4.27,MZ,1733159653
89,lompoc,34.6391,-120.4579,290.89,74,86,1.36,US,1733159654
90,la leonesa,-27.0379,-58.7035,290.93,72,100,2.93,AR,1733159655
91,mount pleasant,32.7941,-79.8626,284.29,39,0,3.6,US,1733159391
92,constantia,44.1833,28.65,277.53,77,90,6.54,RO,1733159372
93,tome acu,-2.4189,-48.1522,309.24,36,80,2.14,BR,1733159659
94,lloydminster,53.2835,-110.0016,256.61,91,86,4.18,CA,1733159416
95,ribeira brava,32.65,-17.0667,293.77,42,52,1.89,PT,1733159661
96,albany,42.6001,-73.9662,273.4,65,47,1.34,US,1733159662
97,alotau,-10.3069,150.4462,298.14,95,97,1.27,PG,1733159663
98,mar del plata,-38.0023,-57.5575,289.23,54,83,6.71,AR,1733158933
99,zheleznogorsk-ilimskiy,56.5768,104.1217,240.42,99,15,1.46,RU,1733159665
100,ndele,8.4109,20.6473,299.85,23,3,2.28,CF,1733159666
101,kilindoni,-7.9139,39.6668,300.46,73,56,4.4,TZ,1733159667
102,sabha,27.0377,14.4283,289.59,29,95,2.8,LY,1733159669
103,nouadhibou,20.931,-17.0347,300.14,32,1,3.6,MR,1733159670
104,vilyuchinsk,52.9306,158.4028,276.3,98,100,4.34,RU,1733159671
105,santo domingo,18.5001,-69.9886,304.22,71,20,1.34,DO,1733159666
106,touros,-5.1989,-35.4608,302.64,64,26,5.82,BR,1733159674
107,stratford,41.1845,-73.1332,277.96,51,0,2.57,US,1733159675
108,singaraja,-8.112,115.0882,300.12,86,100,2.29,ID,1733159676
109,vernouillet,48.7167,1.3667,282.13,80,23,4.33,FR,1733159677
110,luderitz,-26.6481,15.1594,295.38,57,95,14.2,NA,1733159679
111,hermanus,-34.4187,19.2345,294.15,83,64,6.63,ZA,1733159681
112,tiksi,71.6872,128.8694,249.81,99,68,1.9,RU,1733159682
113,hadibu,12.65,54.0333,298.52,65,8,4.74,YE,1733159683
114,yaren,-0.5472,166.916,301.22,71,58,7.35,NR,1733159684
115,naze,28.3667,129.4833,290.66,65,0,3.12,JP,1733159685
116,remire-montjoly,4.9167,-52.2667,302.17,74,75,5.66,GF,1733159686
117,isafjordur,66.0755,-23.124,269.17,54,40,1.54,IS,1733159688
118,lihue,21.9789,-159.3672,295.92,78,0,3.09,US,1733159689
119,darwin,-12.4611,130.8418,301.42,88,100,0.51,AU,1733159666
120,puerto baquerizo moreno,-0.9,-89.6,298.7,69,40,5.14,EC,1733159691
121,punta arenas,-53.15,-70.9167,284.21,58,75,16.46,CL,1733159430
122,iwaki,37.05,140.8833,282.53,86,0,2.41,JP,1733159461
123,jining,35.405,116.5814,277.37,56,100,2.28,CN,1733159694
124,axim,4.8699,-2.2405,301.35,69,20,4.52,GH,1733159696
125,awjilah,29.1081,21.2869,289.9,38,4,3.51,LY,1733159697
126,vezirkopru,41.1436,35.4547,275.82,80,1,0.57,TR,1733159698
127,dulovo,43.8167,27.15,277.39,79,100,2.26,BG,1733159699
128,spinetta marengo,44.8862,8.6829,277.45,88,33,0.85,IT,1733159700
129,castillos,-34.1667,-53.8333,294.51,43,23,6.45,UY,1733159702
130,itoman,26.1247,127.6694,293.16,73,0,3.09,JP,1733159703
131,bikenibeu village,1.3673,173.1241,301.13,78,20,5.66,KI,1733159704
132,al bayda,32.7627,21.7551,285.09,83,58,4.77,LY,1733159706
133,sao joao da barra,-21.6403,-41.0511,307.2,86,99,7.18,BR,1733159707
134,flying fish cove,-10.4217,105.6791,300.88,78,47,4.05,CX,1733159708
135,thompson,55.7435,-97.8558,247.24,76,40,1.54,CA,1733159709
136,afaahiti,-17.75,-149.2833,299.1,80,95,6.7,PF,1733159710
137,blackmans bay,-43.0167,147.3167,287.44,92,79,2.74,AU,1733159711
138,ar rutbah,33.0381,40.2848,283.46,38,98,2.71,IQ,1733159714
139,saba,15.4667,-86.25,295.18,99,100,0.58,HN,1733159715
140,paita,-5.0892,-81.1144,297.12,65,5,5.42,PE,1733159716
141,namibe,-15.1961,12.1522,295.15,76,63,4.22,AO,1733159717
142,el calafate,-50.3408,-72.2768,284.75,50,82,8.64,AR,1733159718
143,saipan,15.1355,145.701,301.54,86,75,11.32,MP,1733159541
144,shagonar,51.5333,92.8,261.49,95,100,1.16,RU,1733159721
145,atafu village,-8.5421,-172.5159,301.11,77,41,7.35,TK,1733159722
146,khovd,48.0056,91.6419,262.6,83,96,1.13,MN,1733159723
147,bonga,7.2833,36.2333,289.64,84,39,0.54,ET,1733159724
148,tynda,55.1667,124.7167,253.61,95,100,2.92,RU,1733159725
149,dudinka,69.4058,86.1778,262.23,93,100,6.24,RU,1733159726
150,jambi city,-1.6,103.6167,296.78,98,100,1.11,ID,1733159727
151,alice springs,-23.7,133.8833,298.9,65,41,4.63,AU,1733159728
152,nabire,-3.3667,135.4833,297.06,95,100,2.52,ID,1733159729
153,chonchi,-42.6128,-73.8092,289.33,47,88,2.12,CL,1733159731
154,beius,46.6667,22.35,275.61,92,10,1.28,RO,1733159732
155,santiago de cao,-7.9589,-79.2392,292.22,82,20,4.63,PE,1733159733
156,papao,-17.75,-149.55,300.97,78,100,6.92,PF,1733159734
157,santa terezinha,-29.9002,-50.0904,295.81,69,100,3.42,BR,1733159735
158,tarnogskiy gorodok,60.4997,43.5761,274.56,86,79,4.94,RU,1733159736
159,cabo san lucas,22.8909,-109.9124,299.13,62,0,2.57,MX,1733159447
160,avarua,-21.2078,-159.775,296.18,94,100,0.51,CK,1733159639
161,motygino,58.1831,94.7592,259.88,98,99,1.15,RU,1733159739
162,cestos city,5.46,-9.5828,301.45,70,25,4.74,LR,1733159741
163,queenstown,-31.8976,26.8753,291.46,69,55,4.95,ZA,1733159742
164,pionerskiy,54.9508,20.2275,277.06,78,52,8.78,RU,1733159743
165,sinabang,2.4803,96.3801,296.87,91,100,4.38,ID,1733159744
166,jiwani,25.05,61.7417,297.76,54,0,2.67,PK,1733159495
167,bathsheba,13.2167,-59.5167,304.49,55,20,10.29,BB,1733159746
168,al jumum,21.6169,39.6981,298.34,60,1,4.19,SA,1733159747
169,isangel,-19.55,169.2667,296.88,91,13,2.71,VU,1733159749
170,ebon,4.582,168.6964,300.85,80,100,8.0,MH,1733159750
171,minas de marcona,-15.2119,-75.1103,293.48,62,98,6.73,PE,1733159751
172,dunedin,-45.8742,170.5036,286.37,99,100,4.73,NZ,1733159653
173,ancud,-41.8697,-73.8203,286.97,54,32,5.62,CL,1733159753
174,colonia,50.9333,6.95,282.73,87,75,3.6,DE,1733159543
175,mil'kovo,55.6078,37.7956,273.34,61,63,3.59,RU,1733159755
176,villa union,23.2,-106.2333,298.66,69,0,0.0,MX,1733159756
177,letterkenny,54.95,-7.7333,276.43,74,94,1.28,IE,1733159757
178,nar'yan-mar,67.6713,53.087,273.92,98,100,8.27,RU,1733159759
179,bhamo,24.2667,97.2333,290.01,77,3,0.44,MM,1733159760
180,sao geraldo do araguaia,-6.4006,-48.555,302.64,60,98,1.63,BR,1733159761
181,sidney,-33.8679,151.2073,295.99,73,83,4.12,AU,1733159703
182,sola,-13.8833,167.55,300.42,74,78,2.03,VU,1733159763
183,paran'ga,56.7039,49.4047,273.38,95,100,4.29,RU,1733159764
184,vorgashor,67.5833,63.95,264.01,94,100,3.72,RU,1733159765
185,nyrob,60.733,56.7202,274.64,98,100,4.95,RU,1733159766
186,goderich,43.7501,-81.7165,272.33,100,100,3.6,CA,1733159663
187,visby,57.6409,18.296,279.84,93,75,6.69,SE,1733159769
188,akjoujt,19.6969,-14.4164,303.12,8,11,5.3,MR,1733159770
189,hays,30.0502,-98.0336,290.39,58,97,4.52,US,1733159771
190,buturlinovka,50.8239,40.6092,272.06,98,100,2.17,RU,1733159772
191,novyy urengoy,66.0833,76.6333,258.43,88,98,5.94,RU,1733159773
192,gisborne,-38.6533,178.0042,288.76,87,100,4.41,NZ,1733159774
193,hersbruck,49.5125,11.4339,275.85,91,98,1.63,DE,1733159775
194,chernyshevskiy,63.0128,112.4714,237.97,100,42,1.22,RU,1733159776
195,tura,25.5198,90.2201,289.1,89,0,1.64,IN,1733159778
196,uyar,55.81,94.3153,266.38,97,100,1.64,RU,1733159779
197,ushuaia,-54.8,-68.3,280.96,81,75,7.2,AR,1733159780
